pattern	constr_id	sent_id	correct_number	form	class	type	prefix	n_attr	punct	freq	len_context	len_prefix	sent
R__VERB_NOUN_CCONJ_VERB	4	1	plur	require	correct	generated	Take me revise if you provide any procedures or	0	False	746	4	9	Take me revise if you provide any procedures or suggest anything unlikely . <eos>
R__VERB_NOUN_CCONJ_VERB	4	1	plur	requires	wrong	generated	Take me revise if you provide any procedures or	0	False	821	4	9	Take me revise if you provide any procedures or suggest anything unlikely . <eos>
L__NOUN_VERB_VERB	9	9	plur	include	correct	generated	European peoples that slightly would spend	1	False	1360	5	6	European peoples that slightly would spend assume ties , company , Jean provider and some messages of convictions . <eos>
L__NOUN_VERB_VERB	9	9	plur	includes	wrong	generated	European peoples that slightly would spend	1	False	543	5	6	European peoples that slightly would spend assume ties , company , Jean provider and some messages of convictions . <eos>
L__NOUN_VERB_VERB	15	5	sing	enters	correct	generated	The excellent technical plenty that he leaves	1	False	61	4	7	The excellent technical plenty that he leaves uses that he perhaps represents his sides and consistently speaks continental with his strong correspondence . <eos>
L__NOUN_VERB_VERB	15	5	sing	enter	wrong	generated	The excellent technical plenty that he leaves	1	False	519	4	7	The excellent technical plenty that he leaves uses that he perhaps represents his sides and consistently speaks continental with his strong correspondence . <eos>
L__NOUN_VERB_VERB	4	1	sing	indicates	correct	generated	My coast with attending the dispute traditionally	0	False	115	6	7	My coast with attending the dispute traditionally enables , could it be employed that deliberately everyone followed the campaign would or could exist at any freedom , since we solely placed Veterinary and Palestinians and if they managed they might have followed a surprising house ?? <eos>
L__NOUN_VERB_VERB	4	1	sing	indicate	wrong	generated	My coast with attending the dispute traditionally	0	False	209	6	7	My coast with attending the dispute traditionally enables , could it be employed that deliberately everyone followed the campaign would or could exist at any freedom , since we solely placed Veterinary and Palestinians and if they managed they might have followed a surprising house ?? <eos>
R__VERB_NOUN_CCONJ_VERB	3	5	plur	manage	correct	generated	Take me ruin if you consider any colleagues or	0	False	407	4	9	Take me ruin if you consider any colleagues or believe anything usual . <eos>
R__VERB_NOUN_CCONJ_VERB	3	5	plur	manages	wrong	generated	Take me ruin if you consider any colleagues or	0	False	30	4	9	Take me ruin if you consider any colleagues or believe anything usual . <eos>
L__NOUN_VERB_VERB	13	5	sing	extends	correct	generated	The uncertain decent honesty I have thrown	0	False	78	4	7	The uncertain decent honesty I have thrown enables that in the channel of UN eight removal of the sake is indefinitely delivered in the piece the frequency before the creativity , this traffic succeeded after the satisfactory television . <eos>
L__NOUN_VERB_VERB	13	5	sing	extend	wrong	generated	The uncertain decent honesty I have thrown	0	False	662	4	7	The uncertain decent honesty I have thrown enables that in the channel of UN eight removal of the sake is indefinitely delivered in the piece the frequency before the creativity , this traffic succeeded after the satisfactory television . <eos>
L__NOUN_VERB_VERB	12	9	sing	agrees	correct	generated	The collective correlation tankers deserve there	1	False	234	4	6	The collective correlation tankers deserve there adds carry to the sand . <eos>
L__NOUN_VERB_VERB	12	9	sing	agree	wrong	generated	The collective correlation tankers deserve there	1	False	2888	4	6	The collective correlation tankers deserve there adds carry to the sand . <eos>
L__NOUN_VERB_VERB	5	4	plur	intend	correct	generated	I put the ladies on which I should decide your liberty	1	False	632	8	11	I put the ladies on which I should decide your liberty insist : ( a ) Do you rush a positive chair about the fire to massive chapter months lived by Amnesty Australia ? <eos>
L__NOUN_VERB_VERB	5	4	plur	intends	wrong	generated	I put the ladies on which I should decide your liberty	1	False	462	8	11	I put the ladies on which I should decide your liberty insist : ( a ) Do you rush a positive chair about the fire to massive chapter months lived by Amnesty Australia ? <eos>
L__NOUN_VERB_VERB	12	4	sing	enjoys	correct	generated	The mobile discrepancy crews pick there	1	False	69	4	6	The mobile discrepancy crews pick there understands join to the recording . <eos>
L__NOUN_VERB_VERB	12	4	sing	enjoy	wrong	generated	The mobile discrepancy crews pick there	1	False	305	4	6	The mobile discrepancy crews pick there understands join to the recording . <eos>
L__NOUN_VERB_VERB	5	5	plur	understand	correct	generated	I receive the regions on which I should perform your proportion	1	False	1631	8	11	I receive the regions on which I should perform your proportion understand : ( a ) Do you develop a timely corps about the tandem to costly proposal terrorists moved by Abu Association ? <eos>
L__NOUN_VERB_VERB	5	5	plur	understands	wrong	generated	I receive the regions on which I should perform your proportion	1	False	88	8	11	I receive the regions on which I should perform your proportion understand : ( a ) Do you develop a timely corps about the tandem to costly proposal terrorists moved by Abu Association ? <eos>
L__NOUN_VERB_VERB	5	6	plur	appear	correct	generated	I recommend the payments on which I should remind your partner	1	False	645	8	11	I recommend the payments on which I should remind your partner insist : ( a ) Do you prefer a foreign bank about the correlation to territorial commission neighbours responded by Algeria East ? <eos>
