model,nhid/emsize,batch_size,dropout,lr,epochs
LSTM,200,64,0.0,1.0,40
LSTM,200,64,0.0,5.0,40
LSTM,200,64,0.0,10.0,40
LSTM,200,64,0.0,20.0,40
LSTM,200,64,0.1,1.0,40
LSTM,200,64,0.1,5.0,40
LSTM,200,64,0.1,10.0,40
LSTM,200,64,0.1,20.0,40
LSTM,200,64,0.2,1.0,40
LSTM,200,64,0.2,5.0,40
LSTM,200,64,0.2,10.0,40
LSTM,200,64,0.2,20.0,40
LSTM,200,128,0.0,1.0,40
LSTM,200,128,0.0,5.0,40
LSTM,200,128,0.0,10.0,40
LSTM,200,128,0.0,20.0,40
LSTM,200,128,0.1,1.0,40
LSTM,200,128,0.1,5.0,40
LSTM,200,128,0.1,10.0,40
LSTM,200,128,0.1,20.0,40
LSTM,200,128,0.2,1.0,40
LSTM,200,128,0.2,5.0,40
LSTM,200,128,0.2,10.0,40
LSTM,200,128,0.2,20.0,40
LSTM,650,64,0.0,1.0,40
LSTM,650,64,0.0,5.0,40
LSTM,650,64,0.0,10.0,40
LSTM,650,64,0.0,20.0,40
LSTM,650,64,0.1,1.0,40
LSTM,650,64,0.1,5.0,40
LSTM,650,64,0.1,10.0,40
LSTM,650,64,0.1,20.0,40
LSTM,650,64,0.2,1.0,40
LSTM,650,64,0.2,5.0,40
LSTM,650,64,0.2,10.0,40
LSTM,650,64,0.2,20.0,40
LSTM,650,128,0.0,1.0,40
LSTM,650,128,0.0,5.0,40
LSTM,650,128,0.0,10.0,40
LSTM,650,128,0.0,20.0,40
LSTM,650,128,0.1,1.0,40
LSTM,650,128,0.1,5.0,40
LSTM,650,128,0.1,10.0,40
LSTM,650,128,0.1,20.0,40
LSTM,650,128,0.2,1.0,40
LSTM,650,128,0.2,5.0,40
LSTM,650,128,0.2,10.0,40
LSTM,650,128,0.2,20.0,40
LSTM,200,20,0.0,1.0,40
LSTM,200,20,0.0,5.0,40
LSTM,200,20,0.0,10.0,40
LSTM,200,20,0.0,20.0,40
LSTM,200,20,0.1,1.0,40
LSTM,200,20,0.1,5.0,40
LSTM,200,20,0.1,10.0,40
LSTM,200,20,0.1,20.0,40
LSTM,200,20,0.2,1.0,40
LSTM,200,20,0.2,5.0,40
LSTM,200,20,0.2,10.0,40
LSTM,200,20,0.2,20.0,40
LSTM,650,64,0.4,1.0,40
LSTM,650,64,0.4,5.0,40
LSTM,650,64,0.4,10.0,40
LSTM,650,64,0.4,20.0,40
LSTM,650,128,0.4,1.0,40
LSTM,650,128,0.4,5.0,40
LSTM,650,128,0.4,10.0,40
LSTM,650,128,0.4,20.0,40
