model,nhid/emsize,batch_size,dropout,lr,epochs
LSTM,650,256,0.0,1.0,60
LSTM,650,256,0.0,5.0,60
LSTM,650,256,0.0,10.0,60
LSTM,650,256,0.0,20.0,60
LSTM,650,256,0.1,1.0,60
LSTM,650,256,0.1,5.0,60
LSTM,650,256,0.1,10.0,60
LSTM,650,256,0.1,20.0,60
LSTM,650,256,0.2,1.0,60
LSTM,650,256,0.2,5.0,60
LSTM,650,256,0.2,10.0,60
LSTM,650,256,0.2,20.0,60
LSTM,650,512,0.0,1.0,60
LSTM,650,512,0.0,5.0,60
LSTM,650,512,0.0,10.0,60
LSTM,650,512,0.0,20.0,60
LSTM,650,512,0.1,1.0,60
LSTM,650,512,0.1,5.0,60
LSTM,650,512,0.1,10.0,60
LSTM,650,512,0.1,20.0,60
LSTM,650,512,0.2,1.0,60
LSTM,650,512,0.2,5.0,60
LSTM,650,512,0.2,10.0,60
LSTM,650,512,0.2,20.0,60
LSTM,650,1024,0.0,1.0,60
LSTM,650,1024,0.0,5.0,60
LSTM,650,1024,0.0,10.0,60
LSTM,650,1024,0.0,20.0,60
LSTM,650,1024,0.1,1.0,60
LSTM,650,1024,0.1,5.0,60
LSTM,650,1024,0.1,10.0,60
LSTM,650,1024,0.1,20.0,60
LSTM,650,1024,0.2,1.0,60
LSTM,650,1024,0.2,5.0,60
LSTM,650,1024,0.2,10.0,60
LSTM,650,1024,0.2,20.0,60
